iter	Logloss
0	0.6844115829
1	0.6731355291
2	0.6644117074
3	0.65580152
4	0.6489072854
5	0.641537671
6	0.6342641866
7	0.6281015887
8	0.6224238246
9	0.6058938437
10	0.6012001889
11	0.5867830762
12	0.5826086213
13	0.57212031
14	0.5470921166
15	0.5429155339
16	0.5390675431
17	0.5350855546
18	0.5070815451
19	0.4981719567
20	0.4946762519
21	0.48828723
22	0.4858372301
23	0.4743110171
24	0.4643672456
25	0.4615108919
26	0.4512307182
27	0.4435615262
28	0.4412910234
29	0.4386465587
30	0.4367510356
31	0.42494443
32	0.4227435856
33	0.4207325279
34	0.4174047388
35	0.4156984438
36	0.4141101291
37	0.4125133866
38	0.4013836784
39	0.3859086778
40	0.3839230384
41	0.3821984006
42	0.380777109
43	0.3793741416
44	0.3779862262
45	0.3706940562
46	0.3664291277
47	0.3651599037
48	0.3638170052
49	0.3627129686
50	0.358089202
51	0.3569754225
52	0.349779494
53	0.3482576176
54	0.3469347263
55	0.345679952
56	0.3441699018
57	0.3399611064
58	0.3368193743
59	0.3358531491
60	0.3349739982
61	0.3340215916
62	0.3329487592
63	0.3317832339
64	0.3308600106
65	0.3296041719
66	0.3281904558
67	0.3273571641
68	0.3239428505
69	0.3228622197
70	0.3220553901
71	0.3197567254
72	0.3186974806
73	0.3180014295
74	0.3172519055
75	0.3163218917
76	0.3154545195
77	0.3145938907
78	0.3137055719
79	0.312979718
80	0.3121367604
81	0.3109605654
82	0.3077588153
83	0.3070514555
84	0.3043952297
85	0.3019056189
86	0.3000353321
87	0.299235321
88	0.2985757251
89	0.2978332758
90	0.2969292463
91	0.2960568775
92	0.2920961501
93	0.2915064091
94	0.2904245137
95	0.2897649627
96	0.2890043556
97	0.2883541741
98	0.2875220656
99	0.2868995646
100	0.2861633002
101	0.2826306425
102	0.2820923541
103	0.2815038849
104	0.2807788735
105	0.2800995512
106	0.2780697309
107	0.2770041855
108	0.2747426294
109	0.2712227312
110	0.2706476683
111	0.2652937131
112	0.2609665992
113	0.2603732876
114	0.2597279817
115	0.2590044266
116	0.2548969335
117	0.2543663952
118	0.2529889381
119	0.2524752329
120	0.2517583981
121	0.2511387023
122	0.2505623517
123	0.2500648255
124	0.2482173149
125	0.2477361994
126	0.2469793367
127	0.2463971695
128	0.2457807246
129	0.2451666042
130	0.2446303178
131	0.2440942054
132	0.243227432
133	0.2414855309
134	0.2410025915
135	0.2405754902
136	0.2399686641
137	0.239419836
138	0.2386693911
139	0.2382702982
140	0.2375708625
141	0.2370968869
142	0.2367184612
143	0.236272975
144	0.2358275436
145	0.2352035544
146	0.2345571605
147	0.2340368145
148	0.2335806887
149	0.2331284269
150	0.232729483
151	0.2323546473
152	0.2316741646
153	0.2310559175
154	0.2307103029
155	0.2302774886
156	0.2292274419
157	0.2287099512
158	0.2283666087
159	0.2280470738
160	0.2276958657
161	0.2273485576
162	0.2268905896
163	0.2239632476
164	0.2232447441
165	0.2225740332
166	0.2220925255
167	0.2217527377
168	0.2212246709
169	0.2208059406
170	0.2203539443
171	0.2200026236
172	0.2196240261
173	0.2183181915
174	0.2177041554
175	0.2173638253
176	0.2169292927
177	0.2146920739
178	0.2143055592
179	0.2126113714
180	0.2117612626
181	0.2112758429
182	0.2108086733
183	0.2104451915
184	0.2098844057
185	0.2094974064
186	0.2088791744
187	0.2083922463
