iter	Passed	Remaining
0	7	7457
1	14	7138
2	21	7146
3	28	7142
4	35	7128
5	43	7189
6	50	7145
7	57	7108
8	64	7068
9	71	7033
10	77	7004
11	85	7026
12	92	7030
13	99	7024
14	106	7004
15	113	7005
16	120	6994
17	127	6982
18	135	6980
19	141	6957
20	148	6934
21	155	6906
22	161	6877
23	168	6865
24	175	6831
25	180	6772
26	186	6706
27	191	6662
28	197	6628
29	203	6586
30	209	6551
31	216	6538
32	222	6519
33	227	6472
34	233	6451
35	239	6419
36	245	6390
37	251	6358
38	256	6321
39	262	6297
40	267	6262
41	273	6240
42	279	6222
43	285	6194
44	290	6173
45	296	6157
46	302	6141
47	308	6123
48	314	6102
49	319	6076
50	325	6057
51	331	6039
52	337	6025
53	342	6007
54	348	5990
55	354	5975
56	360	5964
57	365	5943
58	371	5928
59	377	5910
60	383	5896
61	388	5884
62	394	5866
63	399	5849
64	405	5835
65	411	5824
66	417	5808
67	422	5796
68	428	5782
69	434	5773
70	440	5758
71	445	5747
72	451	5737
73	457	5727
74	463	5716
75	469	5702
76	475	5694
77	480	5683
78	486	5676
79	492	5662
80	498	5653
81	504	5644
82	509	5633
83	515	5624
84	521	5615
85	527	5605
86	533	5596
87	539	5588
88	545	5585
89	551	5574
90	557	5565
91	562	5553
92	568	5545
93	574	5532
94	579	5525
95	585	5517
96	591	5506
97	597	5498
98	603	5492
99	609	5481
100	614	5473
101	620	5463
102	626	5452
103	631	5443
104	637	5435
105	643	5426
106	649	5417
107	655	5410
108	660	5401
109	666	5391
110	672	5383
111	678	5377
112	684	5370
113	690	5363
114	696	5357
115	701	5348
116	707	5339
117	713	5331
118	718	5321
119	724	5311
120	730	5304
121	736	5299
122	742	5292
123	748	5285
124	753	5277
125	759	5269
126	765	5262
127	771	5253
128	776	5246
129	782	5237
130	788	5228
131	794	5224
132	800	5219
133	807	5217
134	813	5211
135	819	5205
136	825	5199
137	831	5194
138	837	5185
139	843	5178
140	849	5175
141	854	5165
142	860	5159
143	866	5150
144	871	5141
145	877	5135
146	883	5129
147	889	5121
148	895	5114
149	901	5109
150	907	5101
151	913	5094
152	918	5087
153	924	5079
154	930	5072
