,Flag,Company,Ticker,Unnamed: 3,Activist_Group,Start_Date,Hostility_End_Date,Start_Year,Start_Month,Start_Day,Stake_End_Date,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Link,News_Search,Start_Date_And_Time,Current_Ticker,First_Affected_Date,Hostility_End_Date.1,End_Year,End_Month,End_Day,Sector,Industry_Name,Outcome,Region_Exchange,Country_Exchange,Country_Incorporation,State_Incorporation,Proxy_Fight_Boolean,Campaign_Status,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return
0,225134646,Peabody Energy Corp,PEABODY ENERGY,#N/A Invalid Security,Discovery Capital Management LLC/CT,23/12/2016 0:00,,2011,1,6,24/01/2017 0:00,Stake Only 13D: 1 Board Seat Granted,-70.50938,138010000.0,8.6,DOCV /ID 0001193125-16-802867,NI COMPANY:BTUUQ@US 'Discovery',Start: 2016-12-23. UTC: 2016-12-23T13:44:05.000Z,BTUUQ US Equity,27/12/2016 0:00,,,,,Materials,Metals & Mining,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,11868860.0,-27.2118,-94.86595,-59.48434,-70.50938
34,225134646,Peabody Energy Corp,PEABODY ENERGY,#N/A Invalid Security,Mangrove Partners,24/10/2016 0:00,1/27/2017,2011,8,17,27/01/2017 0:00,1: Other (Bankruptcy-related objective),-83.28612,195915000.0,5.2,DOCV /ID 0001013594-16-001286,NI COMPANY:BTUUQ@US 'Mangrove',Start: 2016-10-24. UTC: 2016-10-24T12:11:53.000Z,BTUUQ US Equity,24/10/2016 0:00,1/27/2017,2017.0,27.0,1.0,Materials,Metals & Mining,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Former Core,10187580.0,51.74693,-96.38338,-88.98569,-83.28612
48,225134646,Fiesta Restaurant Group Inc,FRGI US,FRGI,"Radoff Family Foundation/The (Group: JCP Investment Management LLC, Bandera Partners LLC, Radoff Family Foundation/The and Lake Trail Capital)",19/09/2016 0:00,6/7/2017,2011,9,19,07/06/2017 0:00,2: Board Representation; Declassify Board,-18.19961,687841900.0,6.2,DOCV /ID 0000921895-16-005715,NI COMPANY:FRGI@US 'Radoff',Start: 2016-09-19. UTC: 2016-09-19T12:54:33.000Z,FRGI US Equity,19/09/2016 0:00,6/7/2017,2017.0,7.0,6.0,Consumer Discretionary,Leisure Facilities & Services,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,42646197.8,1.83953,-32.68102,-19.67717,-18.19961
49,225134646,Fiesta Restaurant Group Inc,FRGI US,FRGI,"JCP Investment Management LLC (Group: JCP Investment Management LLC, Bandera Partners LLC, Radoff Family Foundation/The and Lake Trail Capital)",19/09/2016 0:00,6/7/2017,2011,9,22,07/06/2017 0:00,2: Board Representation; Declassify Board,-18.19961,687841900.0,6.2,DOCV /ID 0000921895-16-005715,NI COMPANY:FRGI@US 'JCP',Start: 2016-09-19. UTC: 2016-09-19T12:54:33.000Z,FRGI US Equity,19/09/2016 0:00,6/7/2017,2017.0,7.0,6.0,Consumer Discretionary,Leisure Facilities & Services,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,42646197.8,1.83953,-32.68102,-19.67717,-18.19961
101,225134646,PulteGroup Inc,PHM US,PHM,Elliott Investment Management LP,7/6/2016,,2012,1,17,14/11/2017 0:00,Stake Only: 3 Board Seats Granted,74.21398,6470802600.0,4.0,NSN O8EXLASYF01W,NI COMPANY:PHM@US 'Elliott',Start: 2016-06-07. UTC: 2016-06-07T17:51:10.157Z,PHM US Equity,07/06/2016 0:00,,,,,Consumer Discretionary,Home Construction,Not Applicable,North America,United States,UNITED STATES OF AMERICA,MI,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,258832104.0,4.064171,28.91747,67.41014,47.099124
103,225134646,Covisint Corp,COVISINT,#N/A Invalid Security,Dialectic Capital Management LP,1/6/2016,7/26/2017,2012,1,19,26/07/2017 0:00,2: Board Control; Oppose Merger (Target),19.5122,82881100.0,5.5,NSN O8433N3RXUKG,NI COMPANY:COVS@US 'Dialectic',Start: 2016-06-01. UTC: 2016-06-01T21:16:35.908Z,COVS US Equity,02/06/2016 0:00,7/26/2017,2017.0,26.0,7.0,Technology,Software,Partial Success,North America,United States,UNITED STATES OF AMERICA,MI,Proxy Fight,Closed - Activist Stake Sold,Former Core,4558460.5,3.902439,-2.439024,15.02347,16.798021
105,225134646,Boingo Wireless Inc,WIFI US,#N/A Review,Legion Partners Asset Management LLC,1/6/2016,,2012,1,20,24/07/2017 0:00,Stake Only 13D: 3 Board Seats Granted,107.7027,280270400.0,5.56,NSN O83FP0MEQTXC,NI COMPANY:WIFI@US 'Legion',Start: 2016-06-01. UTC: 2016-06-01T12:51:00.132Z,WIFI US Equity,01/06/2016 0:00,,,,,Communications,Internet Media & Services,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,15583034.24,1.486486,122.027,104.6605,89.318171
110,225134646,Covisint Corp,COVISINT,#N/A Invalid Security,Roumell Asset Management LLC,18/05/2016 0:00,6/15/2016,2012,2,1,15/06/2016 0:00,3: Strategic Review; Sale of Company; Board Representation,31.25,64687700.0,5.02,DOCV /ID 0001596770-16-000134,NI COMPANY:COVS@US 'Roumell',Start: 2016-05-18. UTC: 2016-05-18T20:07:05.000Z,COVS US Equity,19/05/2016 0:00,6/15/2016,2016.0,15.0,6.0,Technology,Software,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,MI,No Proxy Fight,Closed - Activist Stake Sold,Former Core,3247322.54,-4.375,28.125,37.2549,31.25
119,225134646,Edgewater Technology Inc,1106330D US,#N/A Field Not Applicable,Ancora Advisors LLC,29/04/2016 0:00,2/23/2017,2012,3,2,01/11/2018 0:00,8: Sale of Company; Board Control; Return Capital/Buybacks; Cost Cutting; Strategic Review; Management Changes; Compensation Changes; Remove Director/Withhold Votes,-47.51773,102724300.0,5.46,DOCV /ID 0001446114-16-000025,NI COMPANY:EDGW@US 'Ancora',Start: 2016-04-29. UTC: 2016-04-29T17:38:25.000Z,EDGW US Equity,29/04/2016 0:00,2/23/2017,2017.0,23.0,2.0,Technology,Technology Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,5608746.78,0.472813,-14.06619,-47.76471,-22.65487
135,225134646,PulteGroup Inc,PHM US,PHM,"William J Pulte ""Bill""",4/4/2016,9/8/2016,2012,4,30,29/01/2020 0:00,3: Management Changes; Remove Director/Withhold Votes; Board Representation,182.4534,5961255000.0,8.9,DOCV /ID 0001571049-16-013628,NI COMPANY:PHM@US 'William',Start: 2016-04-04. UTC: 2016-04-04T21:24:32.000Z,PHM US Equity,05/04/2016 0:00,9/8/2016,2016.0,8.0,9.0,Consumer Discretionary,Home Construction,Success,North America,United States,UNITED STATES OF AMERICA,MI,No Proxy Fight,Closed - Activist Stake Sold,Director/Employee,530551695.0,2.033701,37.76844,176.8237,31.242443
