Flag,Company,Ticker,,Activist_Group,Start_Date,Hostility_End_Date,Start_Year,Start_Month,Start_Day,Stake_End_Date,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Link,News_Search,Start_Date_And_Time,Current_Ticker,First_Affected_Date,Hostility_End_Date,End_Year,End_Month,End_Day,Sector,Industry_Name,Outcome,Region_Exchange,Country_Exchange,Country_Incorporation,State_Incorporation,Proxy_Fight_Boolean,Campaign_Status,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return
225134646,Peabody Energy Corp,PEABODY ENERGY,#N/A Invalid Security,Discovery Capital Management LLC/CT,23/12/2016 0:00,,2011,1,6,24/01/2017 0:00,Stake Only 13D: 1 Board Seat Granted,-70.50938,138010000,8.6,DOCV /ID 0001193125-16-802867,NI COMPANY:BTUUQ@US 'Discovery',Start: 2016-12-23. UTC: 2016-12-23T13:44:05.000Z,BTUUQ US Equity,27/12/2016 0:00,,,,,Materials,Metals & Mining,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,11868860,-27.2118,-94.86595,-59.48434,-70.50938
225134646,Performant Financial Corp,PERFORMANT FINANCIAL,#N/A Review,Philadelphia Financial Management of San Francisco LLC,22/12/2016 0:00,,2011,6,3,26/04/2018 0:00,Stake Only 13D: No Public Activism,43.86792,106479900,7.32,DOCV /ID 0001140361-16-090651,NI COMPANY:PFMT@US 'PFM',Start: 2016-12-22. UTC: 2016-12-22T22:29:06.000Z,PFMT US Equity,23/12/2016 0:00,,,,,Financials,Specialty Finance,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,7794328.68,5.660378,-22.64151,36.16071,31.192094
225134646,Fred's Inc,0354071D US,#N/A Field Not Applicable,Alden Global Capital LLC,22/12/2016 0:00,10/11/2018,2011,6,6,19/06/2020 0:00,1: Board Representation,-99.96272,725194500,24.8,DOCV /ID 0000921895-16-006396,NI COMPANY:FREDQ@US 'Alden',Start: 2016-12-22. UTC: 2016-12-22T22:24:56.000Z,FREDQ US Equity,23/12/2016 0:00,10/11/2018,2018,11,10,Consumer Staples,Retail - Consumer Staples,Success,North America,United States,UNITED STATES OF AMERICA,TN,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,179848236,4.231166,-78.88828,-99.96423,-89.583291
225134646,CPS Technologies Corp,CPS TECHNOLOGIES,#N/A Invalid Security,Horton Capital Partners LLC,22/12/2016 0:00,5/9/2017,2011,6,13,12/07/2017 0:00,7: Board Representation; Strategic Review; Sale of Company; Return Capital/Buybacks; Remove Director/Withhold Votes; Cost Cutting; Board Control,-7.142857,18484800,4,NSN OILUQ13MSFLS,NI COMPANY:CPSH@US 'Horton',Start: 2016-12-22. UTC: 2016-12-22T21:08:25.045Z,CPSH US Equity,23/12/2016 0:00,5/9/2017,2017,9,5,Materials,Chemicals,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,739392,7.142857,19.28572,-13.33333,-7.142857
225134646,Brookdale Senior Living Inc,BKD US,BKD,Land & Buildings Investment Management LLC,20/12/2016 0:00,10/8/2019,2011,6,13,15/05/2020 0:00,8: Real Estate Separation; Strategic Review; Declassify Board; Other (Refrain from expanding the size of board); Remove Director/Withhold Votes; Return Capital/Buybacks; Break Up; Board Representation,-77.59434,2366693100,1.1,NSN OIHLK0MEQTXM,NI COMPANY:BKD@US 'Land & Buildings',Start: 2016-12-20. UTC: 2016-12-20T14:00:00.379Z,BKD US Equity,20/12/2016 0:00,10/8/2019,2019,8,10,Health Care,Health Care Facilities & Svcs,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,26033624.1,2.987421,-23.58491,-78.24428,-35.570822
225134646,New York & Co Inc,MRK UN,MRK,Kanen Wealth Management LLC,16/12/2016 0:00,5/19/2020,2011,6,16,19/05/2020 0:00,4: Return Capital/Buybacks; Board Representation; Cost Cutting; Cost Cutting,-81.97309,143717000,5.09,NSN OIACIV3MSFLS,NI COMPANY:RTWIQ@US 'Kanen',Start: 2016-12-16. UTC: 2016-12-16T16:01:43.533Z,RTWIQ US Equity,16/12/2016 0:00,5/19/2020,2020,19,5,Consumer Discretionary,Retail - Discretionary,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,7315195.3,12.10762,16.1435,-83.92,-39.364213
225134646,Taiwan Fund Inc/The,TWN US,#N/A Field Not Applicable,City of London Investment Group PLC,15/12/2016 0:00,4/12/2019,2011,6,20,,3: Remove Director/Withhold Votes; Realize NAV; Return Capital/Buybacks,268.2769,133475520,40.3,DOCV /ID 0001072613-16-001009,NI COMPANY:TWN@US 'CLIM',Start: 2016-12-15. UTC: 2016-12-15T21:02:51.000Z,TWN US Equity,16/12/2016 0:00,4/12/2019,2019,12,4,Investment Fund,Closed-End Fund,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,"Open - Stake Open, Hostilities Ended",Secondary Focus,53790634.56,-0.4313,28.31177,269.8721,19.907227
225134646,Diebold Nixdorf Inc,DBD US,DBD,Atlantic Investment Management Inc,13/12/2016 0:00,11/16/2018,2011,6,21,16/11/2018 0:00,2: Strategic Review; Return Capital/Buybacks,-84.44566,1837178200,5.1,DOCV /ID 0000905718-16-001802,NI COMPANY:DBDQQ@US 'Atlantic',Start: 2016-12-13. UTC: 2016-12-13T22:07:54.000Z,DBDQQ US Equity,14/12/2016 0:00,11/16/2018,2018,16,11,Technology,Technology Hardware,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,OH,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,93696088.2,1.840491,-28.58866,-84.72676,-61.997788
225134646,NorthStar Realty Europe Corp,NORTHSTAR REALTY EUROPE,#N/A Invalid Security,Bow Street LLC,9/12/2016,5/12/2017,2011,6,22,12/05/2017 0:00,2: Acquire Company; Other (Reject the NSAM management contract),2.157837,659493600,6.7,NSN OHXGBP6KLVRX,NI COMPANY:NRE@US 'Bow Street',Start: 2016-12-09. UTC: 2016-12-09T16:55:01.392Z,NRE US Equity,09/12/2016 0:00,5/12/2017,2017,12,5,Real Estate,REIT,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,MD,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,44186071.2,4.927783,26.69601,-2.639859,2.157837
225134646,Basic Energy Services Inc,BASX 10 3/4 10/15/23,BASX,Silver Point Capital LP,9/12/2016,2/7/2019,2011,6,24,25/11/2019 0:00,Discussions only,-98.75,,20.8,NSN OHXGBASYF01U,NI COMPANY:BASXQ@US 'Silver Point',Start: 2016-12-09. UTC: 2016-12-09T16:54:46.626Z,BASXQ US Equity,09/12/2016 0:00,2/7/2019,2019,7,2,Energy,Oil & Gas Services & Equip,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,,,-39.05556,-98.75,-77.226958
225134646,China Cord Blood Corp,CHINA CORD BLOOD,#N/A Review,Heng Ren Investments LP,9/12/2016,12/9/2017,2011,6,29,09/12/2017 0:00,4: Other (Disband the Special Committee); Return Capital/Buybacks; Oppose Merger (Target); Sale of Company,123.8095,369983500,,http://www.hengreninvestment.com/images/documents/Heng_Ren_Letter_to_China_Cord_Blood_Board-December-9-2016.pdf,NI COMPANY:CORBF@US 'Heng Ren',Start: 2016-12-09. First Affected: 2016-12-09,CORBF US Equity,09/12/2016 0:00,12/9/2017,2017,9,12,Health Care,Health Care Facilities & Svcs,Partial Success,North America,United States,CAYMAN ISLANDS,,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,,0,123.8095,123.8095,123.8095
