year,ID,ticker,company_name,market_cap,bic_level_2,bic_level_3,unequal_voting,ceo_tenure,ipo_date,total_return_5y,total_return_4y,total_return_3y,total_return_2y,total_return_1y,total_return_6m,total_return_3m,capex,net_capex,short_term_wc,long_term_wc,modified_wc,ebit,ebitda,net_income,net_revenue,ebitda_margin,operating_margin,operating_margin_2y_before,operating_margin_1y_before,net_debt,sales_to_total_assets,free_float_percentage,rsi_14d,rsi_30d,volatility_30d,volatility_90d,volatility_180d,roe,normalized_roe,headline_roe,operating_roe,operating_roic,pe_ratio,eps_adjusted_diluted,eps_gaap_diluted,eps_adjusted_headline,eps_gaap_basic,ev_to_sales,tobin_q_ratio,board_size,pb_ratio,employee_growth_rate,fcf_yield,fcf_to_equity,headline_fcf,unlevered_fcf,ev,sales_growth_rate,current_shares_outstanding,shares_outstanding,volume_30d_average,volume_30d_average_to_outstanding,insider_shares_percentage,classified_board_system,poison_pill,repurchase,net_repurchase,dividend_per_share,dividend_to_common,dividend_to_preferred,dividend_payout_ratio,total_compensation_to_executives,total_compensation_to_board_members,institution_ownership_percentage,asset_to_equity,current_asset,current_liability,non_current_asset,non_current_liability,cash_conversion_cycle,interest_expense,ceo_is_female
2022,2238067D UN Equity,2238067D,Safehold Inc/old,1779804288,Real Estate,REIT,,6.25,22/06/2017,0.75117,0.617649,-0.25786,-0.59321,-0.63399,-0.18025,0.088173,0,0,,,,1.93E+08,2.03E+08,134907000,2.45E+08,81.37422,7.75E+01,77.1681,77.01332,3.43E+09,0.042984,41.55783,44.69264,46.26805,2.56E-01,6.04E-01,5.53E-01,7.14E+00,,4.833333,10.21051,4.144343,12.77679,2.24,2.24,2.24,2.24,21.04916,0.96391,7,0.841974,,3.629051,1.50E+09,64590000,,5.24E+09,42.33377,62187432,62187000,332297.4,,0.582,,,0,,0.694,41481277,0,,,,91.552,2.699536,,,,,,1.13E+08,0.00E+00
2022,2293940D UW Equity,2293940D,Liberty Media Corp-Liberty Bra,1708669952,Consumer Discretionary Services,Leisure Facilities & Services,1,6.58333,,0.472949,0.309944,0.101855,0.313631,0.136348,0.299006,0.160568,-2.20E+07,-2.20E+07,1.10E+08,3.93E+08,7.00E+06,2000000,75000000,16000000,6.11E+08,11.77394,3.14E-01,-77.9661,-2.79441,4.39E+08,0.415254,96.76497,51.11745,54.19116,2.04E-01,2.55E-01,2.34E-01,2.61E+00,2.867863,-0.89,0.326264,0.151286,98.1479,0.332865,0.280555,1.599742,0.280555,3.371538,1.825184,10,5.095024,,3.043303,-7.00E+07,52000000,3000000,2.15E+09,27.14571,10313703,52868479,50806.37,,1.846,1,,0,0,0,0,0,0,,,64.795,2.415748,305000000,208000000,1229000000,987000000,,26000000,0
2022,2293944D UW Equity,2293944D,Liberty Media Corp-Liberty Bra,1708669952,Consumer Discretionary Services,Leisure Facilities & Services,1,6.58333,,0.447889,0.294898,0.091063,0.295418,0.146975,0.342917,0.172,-2.20E+07,-2.20E+07,1.10E+08,3.93E+08,7.00E+06,2000000,75000000,16000000,6.11E+08,11.77394,3.14E-01,-77.9661,-2.79441,4.39E+08,0.415254,96.79199,51.40585,54.59908,2.06E-01,2.77E-01,2.45E-01,2.61E+00,2.867863,-0.89,0.326264,0.151286,,,,,,3.371538,1.825184,10,,,3.043303,-7.00E+07,52000000,3000000,2.15E+09,27.14571,41494540,,152566.3,,3.208,1,,0,0,,0,0,0,,,88.878,2.415748,305000000,208000000,1229000000,987000000,,26000000,0
2022,2297249D UW Equity,2297249D,Liberty Media Corp-Liberty Sir,12800588800,Media,Publishing & Broadcasting,1,15.6667,,0.028334,0.087016,-0.17248,-0.08984,-0.22694,0.090733,0.032572,-4.23E+08,-4.20E+08,2.11E+09,-1.90E+09,-6.60E+08,1.82E+09,2.43E+09,923000000,,25.91645,1.94E+01,20.80121,10.92515,1.33E+10,0.30839,77.1534,36.92337,42.35443,1.76E-01,2.15E-01,2.25E-01,1.11E+01,14.97751,11.1292,21.93284,7.1444,4.567606,8.606259,7.997058,4.8326,8.038131,3.10716,1.170236,10,1.517468,,11.53853,1.56E+09,1.48E+09,1.63E+09,2.92E+10,9.065551,98094016,3.26E+08,651475.2,,1.946,,,,,0,0,0,0,,,107.025,2.631356,1247000000,3146000000,29182000000,15719000000,,5.34E+08,0.00E+00
2022,2297264D UW Equity,2297264D,Liberty Media Corp-Liberty For,12442800000,Media,Publishing & Broadcasting,1,15.6667,,0.61762,0.797779,0.22042,0.406423,-0.0996,-0.07832,0.017327,-2.70E+08,-2.70E+08,4.48E+08,1.61E+09,-1.60E+08,1.94E+08,5.64E+08,35000000,,21.64236,7.44E+00,-36.0101,-3.43511,1.55E+09,0.222146,98.01564,51.33669,49.63409,2.76E-01,3.12E-01,3.12E-01,5.38E-01,0.923573,2.612776,2.98026,1.782515,293.3773,0.178757,0.140902,0.178757,0.140902,,,9,1.867997,,,5.33E+08,2.60E+08,3.95E+08,,42.09378,23974078,2.33E+08,169435.8,,1.984,1,0,0,0,0,0,0,0,,,101.306,1.642767,2418000000,810000000,9313000000,3780000000,,1.30E+08,0.00E+00
2022,2297267D UW Equity,2297267D,Liberty Media Corp-Liberty For,12442800000,Media,Publishing & Broadcasting,1,15.6667,,0.717323,0.947231,0.300555,0.403286,-0.05471,-0.05814,0.02188,-2.70E+08,-2.70E+08,4.48E+08,1.61E+09,-1.60E+08,1.94E+08,5.64E+08,35000000,,21.64236,7.44E+00,-36.0101,-3.43511,1.55E+09,0.222146,93.5164,51.82491,50.17345,2.78E-01,3.19E-01,3.23E-01,5.38E-01,0.923573,2.612776,2.98026,1.782515,,,,,,,,9,,,,5.33E+08,2.60E+08,3.95E+08,,42.09378,2.06E+08,,932474.8,,2.743,1,0,0,0,,0,0,0,,,122.143,1.642767,2418000000,810000000,9313000000,3780000000,,1.30E+08,0.00E+00
2022,2297268D UW Equity,2297268D,Liberty Media Corp-Liberty Sir,12800588800,Media,Publishing & Broadcasting,1,15.6667,,0.02806,0.076989,-0.17268,-0.10067,-0.23048,0.085437,0.037656,-4.23E+08,-4.20E+08,2.11E+09,-1.90E+09,-6.60E+08,1.82E+09,2.43E+09,923000000,,25.91645,1.94E+01,20.80121,10.92515,1.33E+10,0.30839,68.56253,37.29495,42.73041,1.81E-01,2.27E-01,2.36E-01,1.11E+01,14.97751,11.1292,21.93284,7.1444,4.546691,8.606259,7.997058,4.8326,8.038131,3.10716,1.170236,10,1.510519,,11.53853,1.56E+09,1.48E+09,1.63E+09,2.92E+10,9.065551,2.19E+08,3.26E+08,872462.5,,11.69,,,,,0,0,0,0,,,101.609,2.631356,1247000000,3146000000,29182000000,15719000000,,5.34E+08,0.00E+00
2022,9994967D UW Equity,9994967D,Sinclair Broadcast Group Inc,1079896576,Media,Publishing & Broadcasting,,6,06/06/1995,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,88.17998,,,,,,,,,,,,,,,,,,9,,,,,,,,,45850776,,566177.8,,,,,,,,,,,29372555,2304447,,,,,,,,,
2022,A UN Equity,A,Agilent Technologies Inc,44307181568,Health Care,Medical Equipment & Devices,0,7.666666667,17/11/1999,1.298413,1.281856,0.789267,0.280168,-0.05528,0.266216,0.235081,-2.91E+08,-2.90E+08,1.79E+09,1.92E+09,1.86E+09,1.62E+09,1.98E+09,1.25E+09,6.76E+09,28.91355,2.36E+01,15.84566,21.31666,1.87E+09,0.650209,99.64714,50.076,53.54293,2.31E-01,3.48E-01,3.48E-01,2.35E+01,25.66096,27.55833,30.25996,19.58127,32.72012,4.573638,4.18,5.22,4.19,6.742871,4.56165,11,8.321725,6.470588,2.304367,1.05E+09,1.02E+09,9.24E+08,4.62E+10,8.371578,2.96E+08,2.95E+08,1351045,,0.353,1,0,4.58E+08,4.00E+08,0.84,2.51E+08,0,20.02871,33313101,3700730,104.887,1.985297,3778000000,1861000000,6754000000,3366000000,121.5714,84000000,0
2022,AA UN Equity,AA,Alcoa Corp,8045332992,Materials,Metals & Mining,0,7.25,,-0.16788,0.72717,1.134272,0.991678,-0.23113,0.002198,0.354323,-4.62E+08,-2.10E+08,2.10E+09,2.40E+09,1.56E+09,4.96E+08,1.19E+09,-1.20E+08,1.32E+10,9.034126,3.78E+00,-0.24652,12.62049,3.79E+08,0.881962,99.12431,50.9552,50.58032,5.48E-01,6.63E-01,6.55E-01,-2.59E+00,32.16283,7.49,10.72548,6.005206,5.719049,7.950623,-0.84,7.9,-0.73,0.757566,1.093906,9,1.49791,-5.42636,10.03066,1.06E+09,4.18E+08,-7.70E+08,9.95E+09,17.17244,1.77E+08,1.77E+08,4200809,,0.876,0,0,4.25E+08,3.97E+08,0.1,18400000,0,,23215124,2820685,86.942,2.15975,5350000000,2954000000,9535000000,5039000000,43.56064,1.08E+08,0.00E+00
