,model,auroc_train,auroc_test,top_30_hit_num,top_30_hit_rate
0,SparseXGBClassifier,1.0,0.6595130139831095,3,0.1
1,SparseLGBMClassifier,0.9999354523271761,0.6714211546448844,3,0.1
2,SparseCatBoostClassifier,0.997459725768815,0.6920808528312336,4,0.13333333333333333
3,Median_Original_LogisticRegression,0.6858468166880123,0.6700522636023813,3,0.1
4,Median_Original_RandomForestClassifier,1.0,0.6348781669666343,5,0.16666666666666666
5,Median_Original_XGBClassifier,1.0,0.6722899072407588,2,0.06666666666666667
6,Median_Original_LGBMClassifier,0.9998431117196567,0.68412190225668,0,0.0
7,Median_Original_CatBoostClassifier,0.9917634220022484,0.6959954312612487,4,0.13333333333333333
8,Median_Original_MLPClassifier,0.6510965730744318,0.6203845355115604,2,0.06666666666666667
9,Median_Original_DropoutMLPClassifier,0.9646589580031742,0.5928163505468642,3,0.1
10,Median_Rose_LogisticRegression,0.6943074547137488,0.6820261664128477,7,0.23333333333333334
11,Median_Rose_RandomForestClassifier,1.0,0.6616649937699017,4,0.13333333333333333
12,Median_Rose_XGBClassifier,0.9999989114536094,0.6530492869998615,2,0.06666666666666667
13,Median_Rose_LGBMClassifier,0.9997107064777617,0.6950643776824035,5,0.16666666666666666
14,Median_Rose_CatBoostClassifier,1.0,0.669323688218192,2,0.06666666666666667
15,Median_Rose_MLPClassifier,0.9708360391513134,0.5518378789976464,2,0.06666666666666667
16,Median_Rose_DropoutMLPClassifier,0.9917306064855029,0.5559367645022844,3,0.1
17,Median_SmoteNC_LogisticRegression,0.7545908178531697,0.6711979094559047,5,0.16666666666666666
18,Median_SmoteNC_RandomForestClassifier,1.0,0.677342343901426,8,0.26666666666666666
19,Median_SmoteNC_XGBClassifier,0.9999938987646749,0.6260859407448429,4,0.13333333333333333
20,Median_SmoteNC_LGBMClassifier,0.9971653938416164,0.6356275093451474,3,0.1
21,Median_SmoteNC_CatBoostClassifier,0.999874454316286,0.6248286722968296,4,0.13333333333333333
22,Median_SmoteNC_MLPClassifier,0.997207914345071,0.5733715215284507,4,0.13333333333333333
23,Median_SmoteNC_DropoutMLPClassifier,0.990939784252166,0.5482010591167105,4,0.13333333333333333
24,Median_BorderlineSmote_LogisticRegression,0.7669054711262514,0.7698412698412698,4,0.13333333333333333
25,Median_BorderlineSmote_RandomForestClassifier,1.0,0.6691964285714286,4,0.13333333333333333
26,Median_BorderlineSmote_XGBClassifier,0.9999423183560238,0.672420634920635,3,0.1
27,Median_BorderlineSmote_LGBMClassifier,0.9960845010356338,0.6962301587301587,3,0.1
28,Median_BorderlineSmote_CatBoostClassifier,0.9994025841901283,0.6419642857142858,4,0.13333333333333333
29,Median_BorderlineSmote_MLPClassifier,0.9952140166360787,0.5302579365079365,1,0.03333333333333333
30,Median_BorderlineSmote_DropoutMLPClassifier,0.9946585441424992,0.6085813492063492,3,0.1
31,Median_Adasyn_LogisticRegression,0.7102734749064146,0.6738941575522637,7,0.23333333333333334
32,Median_Adasyn_RandomForestClassifier,1.0,0.6840197978679219,6,0.2
33,Median_Adasyn_XGBClassifier,0.999996683952741,0.6227415893672988,1,0.03333333333333333
34,Median_Adasyn_LGBMClassifier,0.9976964317602346,0.629572199916932,5,0.16666666666666666
35,Median_Adasyn_CatBoostClassifier,0.9999148407059132,0.6290443721445382,3,0.1
36,Median_Adasyn_MLPClassifier,0.9994313156754884,0.5745517790391804,1,0.03333333333333333
37,Median_Adasyn_DropoutMLPClassifier,0.9935545420452723,0.6026997092620795,6,0.2
38,KNN_Original_LogisticRegression,0.6840191759905346,0.6668056901564446,5,0.16666666666666666
39,KNN_Original_RandomForestClassifier,1.0,0.6314793022289907,4,0.13333333333333333
40,KNN_Original_XGBClassifier,1.0,0.6625242281600442,4,0.13333333333333333
41,KNN_Original_LGBMClassifier,0.9999643796673696,0.665518136508376,3,0.1
42,KNN_Original_CatBoostClassifier,0.9969470879243668,0.7013342793852969,7,0.23333333333333334
43,KNN_Original_MLPClassifier,0.7394381743331683,0.6591400733767133,0,0.0
44,KNN_Original_DropoutMLPClassifier,0.9646414881585083,0.5767297175688773,4,0.13333333333333333
45,KNN_Rose_LogisticRegression,0.6946517713442814,0.6897757164613042,4,0.13333333333333333
46,KNN_Rose_RandomForestClassifier,1.0,0.6600624740412571,3,0.1
47,KNN_Rose_XGBClassifier,1.0,0.6506749273155198,2,0.06666666666666667
48,KNN_Rose_LGBMClassifier,0.999774733611756,0.6670323965111449,3,0.1
49,KNN_Rose_CatBoostClassifier,1.0,0.6465457566108266,3,0.1
